"date","active_professionals_count"
"2020-01-01",0
"2020-01-02",27
"2020-01-03",24
"2020-01-04",1
"2020-01-05",0
"2020-01-06",37
"2020-01-07",17
"2020-01-08",22
"2020-01-09",21
"2020-01-10",18
"2020-01-11",2
"2020-01-12",2
"2020-01-13",65
"2020-01-14",20
"2020-01-15",30
"2020-01-16",28
"2020-01-17",22
"2020-01-18",6
"2020-01-19",0
"2020-01-20",50
"2020-01-21",49
"2020-01-22",33
"2020-01-23",38
"2020-01-24",22
"2020-01-25",4
"2020-01-26",6
"2020-01-27",64
"2020-01-28",43
"2020-01-29",28
"2020-01-30",19
"2020-01-31",19
"2020-02-01",3
"2020-02-02",3
"2020-02-03",9
"2020-02-04",5
"2020-02-05",10
"2020-02-06",4
"2020-02-07",5
"2020-02-08",0
"2020-02-09",3
"2020-02-10",9
"2020-02-11",7
"2020-02-12",1
"2020-02-13",3
"2020-02-14",1
"2020-02-15",0
"2020-02-16",2
"2020-02-17",4
"2020-02-18",5
"2020-02-19",4
"2020-02-20",6
"2020-02-21",2
"2020-02-22",1
"2020-02-23",1
"2020-02-24",8
"2020-02-25",1
"2020-02-26",3
"2020-02-27",6
"2020-02-28",1
"2020-02-29",2
"2020-03-01",0
"2020-03-02",10
"2020-03-03",0
"2020-03-04",1
"2020-03-05",0
"2020-03-06",3
"2020-03-07",2
"2020-03-08",2
"2020-03-09",1
"2020-03-10",2
